DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1128607
08/01/2021 12:00:23 AM,05/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,299659
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Departure,Domestic,Charter,753
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Departure,Domestic,Charter,342
04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Arrival,Domestic,Charter,199
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,366392
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Departure,International,Charter,0
05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1137239
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1323446
05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1326190
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Departure,Domestic,Charter,674
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Arrival,International,Charter,11
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,395086
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Arrival,Domestic,Charter,656
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Arrival,Domestic,Charter,405
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Arrival,Domestic,Commuter,74
12/10/2020 06:01:38 AM,11/01/2020 12:00:00 AM,Arrival,International,Charter,6
06/09/2021 12:34:10 PM,05/01/2021 12:00:00 AM,Arrival,International,Charter,4
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Departure,Domestic,Charter,883
06/11/2021 12:35:47 PM,11/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,170834
06/11/2021 12:35:47 PM,02/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,113193
06/11/2021 12:35:47 PM,09/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,127934
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Departure,International,Charter,1464
06/11/2021 12:35:47 PM,10/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,156042
06/11/2021 12:35:47 PM,03/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,169960
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,624711
05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Arrival,International,Charter,17
06/11/2021 12:35:47 PM,01/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,139549
06/11/2021 12:35:47 PM,01/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,199463
06/11/2021 12:35:47 PM,10/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,148999
09/28/2020 04:07:45 PM,08/01/2020 12:00:00 AM,Arrival,International,Charter,586
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Departure,International,Charter,965
06/11/2021 12:35:47 PM,08/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,112459
06/11/2021 12:35:47 PM,12/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,163191
06/11/2021 12:35:47 PM,11/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,164266
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Departure,International,Charter,160
06/11/2021 12:35:47 PM,03/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,176538
03/03/2021 10:48:12 AM,01/01/2021 12:00:00 AM,Arrival,International,Charter,26
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,297353
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1725461
08/27/2020 07:15:54 AM,07/01/2020 12:00:00 AM,Arrival,International,Charter,193
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Arrival,Domestic,Commuter,30
03/10/2021 06:01:08 AM,02/01/2021 12:00:00 AM,Arrival,International,Charter,8
06/11/2021 12:35:47 PM,07/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,85003
06/11/2021 12:35:47 PM,04/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,216529
06/11/2021 12:35:47 PM,08/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,107978
06/11/2021 12:35:47 PM,02/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,113188
06/11/2021 12:35:47 PM,12/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,200633
06/11/2021 12:35:47 PM,07/01/2020 12:00:00 AM,Departure,International,Scheduled Carriers,105620
02/02/2021 08:17:02 AM,12/01/2020 12:00:00 AM,Arrival,International,Charter,18
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Arrival,Domestic,Charter,1039
06/11/2021 12:35:47 PM,04/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,207675
12/07/2020 01:58:36 PM,10/01/2020 12:00:00 AM,Arrival,International,Charter,10
06/11/2021 12:35:47 PM,09/01/2020 12:00:00 AM,Arrival,International,Scheduled Carriers,120748
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1729633
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2085115
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2039580
08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Departure,Domestic,Commuter,27
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Departure,International,Charter,0
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,449304
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,474559
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2318755
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2317794
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Departure,Domestic,Charter,549
08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Arrival,International,Charter,10
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Arrival,Domestic,Charter,660
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Departure,Domestic,Commuter,54
08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Arrival,Domestic,Commuter,54
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2028382
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,393093
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Arrival,Domestic,Charter,791
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Departure,International,Charter,262
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,372338
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2048874
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,Arrival,International,Charter,58
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,412342
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,2091353
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2095453
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Departure,International,Charter,48
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,628419
03/01/2022 12:00:19 AM,01/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,454923
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1624994
04/01/2022 12:00:18 AM,01/01/2022 12:00:00 AM,Departure,Domestic,Scheduled Carriers,1526037
04/01/2022 12:00:18 AM,01/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1565284
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Arrival,International,Scheduled Carriers,368165
03/10/2022 06:01:10 AM,02/01/2022 12:00:00 AM,Departure,International,Charter,43
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Departure,Domestic,Commuter,33
04/01/2022 12:00:18 AM,12/01/2021 12:00:00 AM,Departure,International,Scheduled Carriers,553121
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Arrival,Domestic,Commuter,43
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,376246
04/01/2022 12:00:18 AM,02/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,1710335
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Arrival,International,Charter,44
06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Departure,Domestic,Charter,685
04/01/2022 12:00:18 AM,12/01/2021 12:00:00 AM,Arrival,International,Scheduled Carriers,497925
05/01/2022 12:00:25 AM,02/01/2022 12:00:00 AM,Arrival,Domestic,Charter,776
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Arrival,Domestic,Charter,971
05/01/2022 12:00:25 AM,11/01/2021 12:00:00 AM,Arrival,Domestic,Charter,985
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Departure,International,Scheduled Carriers,544185
05/01/2022 12:00:25 AM,03/01/2022 12:00:00 AM,Arrival,Domestic,Scheduled Carriers,2051881
05/01/2022 12:00:25 AM,11/01/2021 12:00:00 AM,Departure,Domestic,Charter,903
05/01/2022 12:00:25 AM,12/01/2021 12:00:00 AM,Departure,Domestic,Charter,1058
